TOTAL ENERGY AND FORCE IN THE NETWORK AT EVERY TIME STEP
TOTAL TIME STEPS = 1000
timestep	f_total	f_elasticity	f_contraction	f_adhesion	f_motility	e_total	e_elasticity	e_adhesion	e_contraction	shape
4.34	24.1961	23.5184	17.327	7.54987	26.2068	77.3943	0.68563	46.5386	30.1701	3.87822
4.35	23.872	23.5165	17.3059	7.54229	21.968	77.3893	0.685678	46.5365	30.1672	3.87804
4.36	23.7167	23.4991	17.3062	7.54169	23.2583	77.3849	0.685278	46.5348	30.1648	3.8779
4.37	25.7719	23.5165	17.2875	7.53492	20.1745	77.3804	0.684977	46.5331	30.1624	3.87776
4.38	25.6746	23.4865	17.2637	7.52652	24.6397	77.3755	0.684198	46.5314	30.1599	3.87762
4.39	21.9202	23.4932	17.2455	7.51937	23.7086	77.3714	0.684012	46.5298	30.1576	3.87748
4.4	26.7555	23.4992	17.2382	7.51895	24.9378	77.367	0.683535	46.5281	30.1553	3.87734
4.41	26.1144	23.5163	17.2213	7.5139	23.7883	77.3629	0.685269	46.5256	30.1521	3.87713
4.42	24.8593	23.4911	17.2117	7.51103	22.9339	77.3572	0.684573	46.5235	30.1491	3.87696
4.43	26.7233	23.4645	17.2066	7.5063	23.4168	77.3516	0.683294	46.5218	30.1465	3.87682
4.44	23.756	23.4504	17.2012	7.50531	23.1705	77.3464	0.682964	46.5198	30.1437	3.87665
4.45	21.755	23.4469	17.1791	7.49643	23.2592	77.3421	0.683035	46.5179	30.1411	3.87649
4.46	23.1621	23.4381	17.1699	7.49357	21.774	77.3382	0.683736	46.5159	30.1385	3.87633
4.47	25.1568	23.4522	17.1458	7.48386	22.7913	77.3342	0.684854	46.5136	30.1357	3.87613
4.48	24.0129	23.4424	17.1427	7.48446	19.9731	77.3309	0.684345	46.5124	30.1341	3.87604
4.49	21.8821	23.388	17.1371	7.48076	21.4009	77.327	0.681591	46.5121	30.1333	3.87601
