timestep = 0
vx	vy
8.22494	8.91882	
7.11859	9.23601	
8.50489	9.72912	
8.53499	9.47175	
8.43557	9.34319	
0.311704	9.90556	
6.56784	3.31628	
1.61876	3.17617	
1.64425	3.03143	
0.210704	1.62586	
9.9377	0.880661	
9.68036	3.21149	
9.39635	2.25757	
2.579	5.83468	
5.00625	9.10505	
3.9082	8.30507	
5.13212	8.4305	
4.9884	8.26381	
3.54051	8.15461	
3.29318	8.80815	
2.47993	7.72093	
2.58803	9.1605	
1.17912	9.28573	
1.1452	8.86267	
6.39814	6.1975	
6.98297	7.71967	
5.74215	5.85288	
0.465143	7.84589	
1.12824	8.43517	
1.1631	8.64166	
1.11564	8.81847	
0.521752	7.14886	
0.424736	7.27553	
3.84221	9.56738	
3.76889	9.74295	
4.69327	9.27803	
4.6412	9.26387	
5.06136	4.25709	
5.7282	4.01651	
6.96005	2.77275	
7.41798	2.91593	
8.00449	2.62685	
7.81802	2.86631	
6.53721	1.70122	
5.75369	3.00066	
5.67076	3.05184	
0.189331	4.66096	
0.470474	4.02855	
0.463341	3.71721	
3.07325	2.25984	
2.85826	2.61852	
1.76373	1.47306	
1.18373	1.85105	
0.666631	1.62508	
9.01882	0.241384	
9.53974	0.785467	
8.52879	1.08195	
9.80352	3.22937	
2.56103	5.61818	
2.81291	4.82957	
3.35887	5.18261	
1.705	4.60256	
1.69858	4.76135	
2.4579	3.86267	
2.64793	3.87846	
2.50843	4.9404	
2.36385	5.07423	
1.31561	4.81308	
1.56349	4.8383	
0.33718	5.14576	
1.14382	6.07051	
1.25996	5.95671	
0.049123	5.71476	
0.1604	5.67327	
2.36088	8.79269	
2.14626	8.38376	
2.42733	7.94821	
2.8628	8.90898	
2.63504	9.0564	
5.58058	5.95668	
5.66546	5.931	
5.53768	6.9101	
6.56768	7.44101	
9.02283	0.129303	
2.71111	1.33711	
2.92361	1.49704	
3.2006	1.39997	
2.61811	0.246053	
2.64932	0.213528	
6.00762	1.33724	
5.52416	0.703417	
