TOTAL ENERGY AND FORCE IN THE NETWORK AT EVERY TIME STEP
TOTAL TIME STEPS = 7000
timestep             f_total        f_elasticity       f_contraction          f_adhesion             e_total        e_elasticity          e_adhesion       e_contraction
18.6             247.932             210.325             247.932             20.4909                1178             37.3824              72.933             1122.38
18.7             247.931             210.299             247.931              20.491             1177.98             37.3723             72.9338             1122.38
18.8             247.931             210.272             247.931             20.4912             1177.97             37.3623             72.9345             1122.37
18.9              247.93             210.245              247.93             20.4914             1177.96             37.3522             72.9353             1122.37
19             247.929             210.218             247.929             20.4915             1177.94             37.3422             72.9361             1122.36
19.1             247.929             210.192             247.929             20.4917             1177.93             37.3323             72.9369             1122.36
19.2             247.928             210.165             247.928             20.4918             1177.91             37.3223             72.9376             1122.36
19.3             247.927             210.138             247.927              20.492              1177.9             37.3124             72.9384             1122.35
19.4             247.927             210.111             247.927             20.4921             1177.89             37.3025             72.9392             1122.35
19.5             247.926             210.085             247.926             20.4922             1177.87             37.2927               72.94             1122.34
19.6             247.925             210.058             247.925             20.4924             1177.86             37.2828             72.9407             1122.34
19.7             247.924             210.031             247.924             20.4925             1177.84              37.273             72.9415             1122.34
19.8             247.924             210.004             247.924             20.4927             1177.83             37.2633             72.9423             1122.33
19.9             247.923             209.977             247.923             20.4928             1177.82             37.2535             72.9431             1122.33
20             247.922              209.95             247.922             20.4929              1177.8             37.2438             72.9439             1122.32
20.1             247.922             209.923             247.922             20.4931             1177.79             37.2342             72.9446             1122.32
20.2             247.921             209.897             247.921             20.4932             1177.78             37.2245             72.9454             1122.31
20.3              247.92              209.87              247.92             20.4933             1177.76             37.2149             72.9462             1122.31
20.4              247.92             209.843              247.92             20.4934             1177.75             37.2053              72.947             1122.31
20.5             247.919             209.816             247.919             20.4936             1177.73             37.1958             72.9477              1122.3
20.6             247.918             209.789             247.918             20.4937             1177.72             37.1863             72.9485              1122.3
20.7             247.918             209.762             247.918             20.4938             1177.71             37.1768             72.9493             1122.29
20.8             247.917             209.735             247.917             20.4939             1177.69             37.1673             72.9501             1122.29
20.9             247.916             209.708             247.916              20.494             1177.68             37.1579             72.9509             1122.29
21             247.915             209.681             247.915             20.4942             1177.67             37.1485             72.9516             1122.28
21.1             247.915             209.654             247.915             20.4943             1177.65             37.1391             72.9524             1122.28
21.2             247.914             209.627             247.914             20.4944             1177.64             37.1298             72.9532             1122.27
21.3             247.913               209.6             247.913             20.4945             1177.63             37.1205              72.954             1122.27
21.4             247.913             209.573             247.913             20.4946             1177.61             37.1112             72.9547             1122.26
21.5             247.912             209.546             247.912             20.4947              1177.6             37.1019             72.9555             1122.26
21.6             247.911             209.519             247.911             20.4948             1177.59             37.0927             72.9563             1122.26
21.7             247.911             209.492             247.911             20.4949             1177.57             37.0836             72.9571             1122.25
21.8              247.91             209.465              247.91              20.495             1177.56             37.0744             72.9579             1122.25
21.9             247.909             209.439             247.909             20.4951             1177.55             37.0653             72.9586             1122.24
22             247.909             209.413             247.909             20.4952             1177.54             37.0562             72.9594             1122.24
22.1             247.908             209.387             247.908             20.4953             1177.52             37.0471             72.9602             1122.24
22.2             247.907             209.362             247.907             20.4954             1177.51             37.0381              72.961             1122.23
22.3             247.907             209.336             247.907             20.4955              1177.5             37.0291             72.9618             1122.23
22.4             247.906              209.31             247.906             20.4956             1177.48             37.0202             72.9625             1122.22
22.5             247.905             209.284             247.905             20.4957             1177.47             37.0112             72.9633             1122.22
22.6             247.905             209.258             247.905             20.4958             1177.46             37.0023             72.9641             1122.21
22.7             247.904             209.233             247.904             20.4959             1177.45             36.9935             72.9649             1122.21
22.8             247.903             209.207             247.903             20.4959             1177.43             36.9846             72.9657             1122.21
22.9             247.903             209.181             247.903              20.496             1177.42             36.9758             72.9664              1122.2
23             247.902             209.155             247.902             20.4961             1177.41              36.967             72.9672              1122.2
23.1             247.901             209.129             247.901             20.4962             1177.39             36.9583              72.968             1122.19
23.2             247.901             209.103             247.901             20.4963             1177.38             36.9496             72.9688             1122.19
23.3               247.9             209.077               247.9             20.4964             1177.37             36.9409             72.9695             1122.19
23.4             247.899             209.052             247.899             20.4964             1177.36             36.9323             72.9703             1122.18
23.5             247.899             209.026             247.899             20.4965             1177.34             36.9237             72.9711             1122.18
23.6             247.898                 209             247.898             20.4966             1177.33             36.9151             72.9719             1122.17
23.7             247.897             208.974             247.897             20.4967             1177.32             36.9065             72.9727             1122.17
23.8             247.897             208.948             247.897             20.4967             1177.31              36.898             72.9734             1122.16
23.9             247.896             208.922             247.896             20.4968             1177.29             36.8895             72.9742             1122.16
24             247.895             208.896             247.895             20.4969             1177.28             36.8811              72.975             1122.16
24.1             247.895              208.87             247.895              20.497             1177.27             36.8726             72.9758             1122.15
24.2             247.894             208.844             247.894              20.497             1177.26             36.8643             72.9766             1122.15
