timestep = 0
vx	vy
4.19909	7.97993	
8.60518	7.29357	
8.99052	1.05818	
8.43198	2.62388	
5.02768	2.9056	
4.73605	5.26461	
8.71172	3.19702	
8.62184	7.15212	
6.94845	5.68419	
4.54489	1.8244	
7.0535	9.77855	
0.843154	8.36363	
3.01433	6.36948	
1.78442	4.18923	
2.45338	1.4912	
3.163	1.16697	
0.838595	0.308801	
0.755841	4.38526	
timestep = 0.51
vx	vy
6.89536	8.53128	
3.55183	6.45897	
4.19933	7.98	
8.6269	7.29152	
8.98932	1.05689	
8.42833	2.62649	
5.02458	2.90297	
4.7311	5.26558	
8.70645	3.19648	
8.59598	7.15332	
6.94559	5.68396	
4.54355	1.82426	
7.05227	9.77745	
0.842685	8.36142	
3.01342	6.365	
1.78153	4.18725	
2.45033	1.48644	
3.15896	1.16296	
0.839129	0.306268	
0.751897	4.38388	
timestep = 0.52
vx	vy
6.89528	8.5313	
3.55189	6.45505	
4.19985	7.97954	
8.60164	7.29086	
8.98866	1.05669	
8.42531	2.62915	
5.02165	2.90066	
4.72701	5.26561	
8.70113	3.19525	
8.61833	7.15031	
6.94202	5.68252	
4.54274	1.82379	
7.05148	9.77651	
0.841116	8.35908	
3.01085	6.36107	
1.77849	4.18527	
2.44688	1.48328	
3.1547	1.15972	
0.839159	0.305676	
0.747513	4.38184	
timestep = 0.53
vx	vy
6.89522	8.53105	
3.55196	6.45115	
4.20157	7.97881	
8.62549	7.28803	
8.98809	1.05501	
8.42245	2.6306	
5.01873	2.89832	
4.7223	5.26658	
8.69543	3.19391	
8.59347	7.14966	
6.93973	5.6818	
4.54235	1.82325	
7.05199	9.77522	
0.841196	8.35635	
3.0097	6.3562	
1.77546	4.18199	
2.44277	1.47861	
3.15092	1.15625	
0.839092	0.303186	
0.743709	4.37864	
timestep = 0.54
vx	vy
6.89521	8.53135	
3.55233	6.44679	
4.20235	7.97822	
8.5994	7.28825	
8.98683	1.05346	
8.41828	2.63184	
5.01617	2.89577	
4.71765	5.26644	
8.68958	3.19119	
8.61711	7.14683	
6.93598	5.67993	
4.54265	1.82329	
7.05216	9.77446	
0.840279	8.35373	
3.008	6.35289	
1.77206	4.17999	
2.4394	1.47421	
3.14817	1.15318	
0.838524	0.300682	
0.739114	4.37651	
timestep = 0.55
vx	vy
6.89335	8.53061	
3.5518	6.44364	
4.20242	7.97785	
8.62222	7.28634	
8.98453	1.05161	
8.41469	2.63256	
5.01297	2.89227	
4.71312	5.26657	
8.68449	3.19005	
8.58987	7.14753	
6.93387	5.67925	
4.54081	1.82183	
7.05031	9.77235	
0.838179	8.35231	
3.00557	6.34954	
1.76812	4.17774	
2.4354	1.47074	
3.14382	1.14975	
0.837294	0.299013	
0.734288	4.37535	
timestep = 0.56
vx	vy
6.89263	8.53202	
3.55063	6.43958	
4.20249	7.9778	
8.5958	7.28638	
8.9837	1.05054	
8.41097	2.63413	
5.00934	2.88947	
4.707	5.2668	
8.67939	3.18925	
8.61398	7.1443	
6.93009	5.679	
4.53989	1.82093	
